symbol,rs_date,RS_20d,RS_60d,RS_120d,RS_180d,RS_250d,RS_20d_z,RS_60d_z,RS_120d_z,RS_180d_z,RS_250d_z,RS_Score,RS_Rating
ANS,2026-03-13,1.0699304145114292,1.066535134601701,1.0381578643538838,1.1378402223841577,1.140567918610642,0.5129967563168949,0.07829675017110352,-0.024517868149508473,-0.024131100133784285,-0.00039885262853919817,0.06377318572460569,80.67796610169492
AP,2026-03-13,1.0929009198666186,1.0376554048864157,1.0512700806262394,1.2039803418644819,1.1753047020260794,0.7552003183794486,0.02296306985974838,-0.01374536989557866,0.02585258320899965,0.026716504002059403,0.08815060256408355,82.71186440677965
APC,2026-03-13,1.0728092059862424,0.9948914245638241,0.6670773794376958,0.8504470574676002,0.680394292237453,0.5433510536583569,-0.05897289143004728,-0.3293834829925836,-0.24132104570597343,-0.35960804715515854,-0.14790804902579285,33.559322033898304
APL,2026-03-13,1.2001973285832086,1.3558697290515833,0.8626255050471975,1.611032717889509,1.8434871900297953,1.886545579871778,0.6326630171044049,-0.16872857935674185,0.3334718803470315,0.5482963589891406,0.4852101481970912,95.25423728813558
APO,2026-03-13,0.9037449914281654,1.3409700616993678,2.1907949334532,1.9614846402875517,1.5876923167720727,-1.2392808192631184,0.6041151934875977,0.9224449149816227,0.5983168496885928,0.34862418066132456,0.45987470190229035,94.57627118644068
APVI,2026-03-13,0.9968581117571278,0.9661779541935273,0.914040270248686,0.9763834653875813,1.0351131280915964,-0.257485727265331,-0.11398801815606562,-0.126488163483877,-0.14614786512723843,-0.08271632627401883,-0.13320404101087255,37.28813559322034
APX,2026-03-13,1.0483858133147688,1.2896404516629565,1.5934092451341053,2.590245957355233,3.0620523070686008,0.28582808621754735,0.5057674506152657,0.43165555102736225,1.0734869403602936,1.4995020976134685,0.727849634277254,98.64406779661017
AR,2026-03-13,1.0443275456503245,0.9684783778939879,0.9858577200539399,1.046125141486694,1.005538467288979,0.24303726081197452,-0.10958039693256832,-0.06748567782019263,-0.09344239859160443,-0.1058021562226712,-0.06000061560534277,57.79661016949152
ARA,2026-03-13,1.0304031783749867,0.8333418600483152,0.7599319925415787,0.798074850206344,0.6527179524507409,0.09621718430929772,-0.36850251810825646,-0.25309766397053296,-0.28089998575442654,-0.3812120573644865,-0.27756525874973864,11.186440677966102
AREIT,2026-03-13,0.9456698742870449,0.86502727843713,0.8916963958140353,0.9990939990383252,1.001715127109173,-0.7972201936712721,-0.307793126817442,-0.14484504101958137,-0.1289849671545168,-0.10878663613998744,-0.2503862065191566,14.576271186440678
ASLAG,2026-03-13,0.9945976625241185,0.9223603598990362,0.8666881055419252,0.9510228558969948,0.8557774189693441,-0.2813201552690112,-0.1979427081274459,-0.1653909012841084,-0.16531348932201445,-0.22270486957967567,-0.19533098158751624,23.050847457627118
AT,2026-03-13,0.9462793262988748,1.456226546471033,2.0405533856478058,1.9960548676642673,1.7570461638944268,-0.7907940639066496,0.8249470899436933,0.7990121727370072,0.6244424042213426,0.48082093320939573,0.5651693846023726,97.28813559322033
ATI,2026-03-13,0.8603834893141876,0.8129051507648525,0.9192885492464392,1.2062675587719336,1.518782059967729,-1.696489317987581,-0.40765933672310356,-0.12217637704250858,0.027581088185050343,0.29483318434456357,-0.27274963178762174,11.864406779661017
ATN,2026-03-13,0.9581974387925658,0.8706522791168175,0.8602091871058888,0.8952417076184209,0.8286381813770292,-0.6651281608540616,-0.2970156024974603,-0.17071373428883108,-0.20746864830812042,-0.2438896205451647,-0.2763731031502508,11.525423728813559
ATNB,2026-03-13,1.0443275456503245,0.9684783778939879,0.9568619047582358,0.8928136983377821,0.9217435950148976,0.24303726081197452,-0.10958039693256832,-0.09130753700526299,-0.20930355347597235,-0.1712120077438523,-0.0989397891066611,44.06779661016949
AUB,2026-03-13,1.0180401245927648,1.0592343747954784,1.01443330614246,0.5961863682586377,0.6393423687538883,-0.03414022915303149,0.06430846450741562,-0.044009062971137665,-0.4334719803549426,-0.39165297003463895,-0.14056609088204725,35.59322033898305
AXLM,2026-03-13,1.0654250718250784,0.8618177635884827,1.1251031607395245,1.1121962030542747,1.0105411462307154,0.46549192217966406,-0.31394257040089774,0.04691308097816807,-0.043510903978898556,-0.10189709046021252,-0.05989205302257248,61.694915254237294
BALAI,2026-03-13,0.906916026485808,0.9684783778939879,1.0328033257707943,0.9330305315962408,0.896831605960441,-1.205845073096012,-0.10958039693256832,-0.02891695342531665,-0.17891072270344335,-0.1906581798177169,-0.22506873625904705,18.983050847457626
