symbol,RS_Change_5D,RS_Change_10D,RS_Change_20D,RS_Change_60D,RS_Current,RS_Accel,RS_Accel_Rank
KPH,19.66101694915254,26.101694915254235,22.3728813559322,-4.067796610169495,68.8135593220339,16.423728813559322,45.0
APC,23.728813559322035,19.322033898305083,4.406779661016948,28.47457627118644,33.559322033898304,16.08474576271186,46.0
KEP,4.406779661016941,-4.7457627118644155,-7.7966101694915295,76.61016949152541,88.13559322033898,15.288135593220332,47.0
CROWN,30.169491525423737,10.169491525423737,1.6949152542373014,35.254237288135606,70.16949152542374,15.05084745762713,48.0
SPNEC,3.7288135593220346,15.932203389830505,4.406779661016955,35.59322033898305,74.91525423728814,15.016949152542374,49.0
AXLM,-1.355932203389827,4.745762711864408,47.118644067796616,-19.661016949152547,61.694915254237294,14.983050847457628,50.0
FJP,-2.3728813559322077,-5.762711864406782,13.559322033898297,44.40677966101694,85.08474576271186,14.847457627118638,51.0
CA,21.355932203389827,16.610169491525426,4.406779661016955,27.118644067796623,91.52542372881356,14.830508474576277,52.0
STR,8.813559322033896,13.220338983050846,19.999999999999996,9.491525423728813,26.101694915254235,14.559322033898304,53.0
EVER,7.7966101694915295,13.559322033898304,11.864406779661017,22.372881355932204,40.0,14.508474576271187,54.0
FMETF,8.47457627118645,11.864406779661017,12.542372881355938,20.33898305084746,49.49152542372882,13.91525423728814,55.0
PAX,14.576271186440678,13.559322033898306,20.677966101694917,1.6949152542372907,24.74576271186441,13.542372881355934,56.0
GREEN,17.288135593220346,15.593220338983045,20.000000000000007,-1.6949152542372872,83.72881355932203,13.203389830508478,57.0
PHR,7.796610169491526,10.16949152542373,10.508474576271189,20.0,23.389830508474578,12.52542372881356,58.0
SLF,15.593220338983045,10.847457627118636,16.94915254237287,5.423728813559315,63.72881355932203,12.406779661016941,59.0
DFNN,7.118644067796611,15.254237288135592,10.508474576271185,14.576271186440676,17.627118644067796,12.372881355932202,60.0
I,4.067796610169488,9.830508474576263,9.830508474576263,21.355932203389823,50.16949152542372,12.135593220338976,61.0
CBC,-0.33898305084744607,0.0,-3.7288135593220204,53.22033898305086,81.35593220338984,11.779661016949161,62.0
APL,-3.3898305084745886,-2.0338983050847474,6.101694915254228,40.338983050847446,95.25423728813558,11.677966101694906,63.0
IPO,7.457627118644069,9.830508474576277,11.525423728813564,14.237288135593232,87.79661016949153,11.37288135593221,64.0
MACAY,19.661016949152547,15.254237288135597,9.15254237288136,6.101694915254242,31.186440677966104,10.96610169491526,65.0
CTS,17.6271186440678,13.220338983050851,2.7118644067796644,18.98305084745763,29.830508474576273,10.898305084745767,66.0
EMI,9.83050847457627,14.237288135593225,10.508474576271183,8.135593220338983,70.84745762711864,10.779661016949152,67.0
SGI,27.45762711864407,11.525423728813564,10.169491525423723,3.7288135593220346,78.30508474576271,10.627118644067796,68.0
COL,0.33898305084745317,17.288135593220336,0.0,22.711864406779654,43.050847457627114,10.033898305084744,69.0
OPM,10.847457627118644,23.050847457627114,7.457627118644055,0.6779661016949206,91.86440677966101,9.999999999999995,70.0
FRUIT,4.406779661016955,8.47457627118645,3.050847457627114,24.406779661016955,80.33898305084746,9.881355932203393,71.0
FFI,2.711864406779661,10.169491525423737,9.830508474576277,10.84745762711865,53.22033898305085,9.457627118644075,72.0
XG,37.62711864406779,10.169491525423723,5.762711864406782,3.38983050847456,75.59322033898304,9.457627118644062,73.0
EEI,-9.152542372881356,12.203389830508474,15.593220338983052,4.067796610169491,22.372881355932204,9.389830508474578,74.0
ACE,4.4067796610169445,7.796610169491522,8.813559322033896,13.898305084745761,35.25423728813559,9.389830508474574,75.0
ORE,-0.33898305084744607,5.0847457627118615,8.81355932203391,17.627118644067792,92.88135593220339,9.169491525423734,76.0
BKR,11.186440677966102,14.576271186440678,10.508474576271187,0.0,15.254237288135593,8.966101694915256,77.0
SPM,9.83050847457627,10.84745762711864,0.33898305084745317,20.338983050847453,34.91525423728813,8.915254237288131,78.0
COAL,50.847457627118644,9.491525423728817,-4.745762711864401,13.220338983050844,74.23728813559322,8.86440677966102,79.0
